iter	Passed	Remaining
770	1082	321
771	1083	320
772	1085	318
773	1086	317
774	1087	315
775	1088	314
776	1089	312
777	1090	311
778	1092	309
779	1093	308
780	1094	306
781	1096	305
782	1097	304
783	1098	302
784	1100	301
785	1101	299
786	1102	298
787	1103	296
788	1104	295
789	1105	293
790	1107	292
791	1108	291
792	1109	289
793	1111	288
794	1112	286
795	1113	285
796	1114	283
797	1115	282
798	1116	280
799	1117	279
800	1118	277
801	1120	276
802	1121	275
803	1122	273
804	1123	272
805	1124	270
806	1126	269
807	1127	267
808	1128	266
809	1129	264
810	1130	263
811	1131	262
812	1132	260
813	1133	259
814	1134	257
815	1136	256
816	1137	254
817	1138	253
818	1139	251
819	1141	250
820	1142	249
821	1143	247
822	1144	246
823	1146	244
824	1147	243
825	1148	241
826	1149	240
827	1150	239
828	1151	237
829	1153	236
830	1154	234
831	1155	233
832	1156	231
833	1157	230
834	1158	229
835	1160	227
836	1161	226
837	1162	224
838	1163	223
839	1165	221
840	1166	220
841	1167	219
842	1168	217
843	1169	216
844	1171	214
845	1172	213
846	1173	211
847	1174	210
848	1175	209
849	1176	207
850	1177	206
851	1179	204
852	1180	203
853	1181	201
854	1182	200
855	1183	199
856	1184	197
857	1186	196
858	1187	194
859	1188	193
860	1189	192
861	1190	190
862	1191	189
863	1192	187
864	1194	186
865	1195	184
866	1196	183
867	1197	182
868	1198	180
869	1199	179
870	1201	177
871	1202	176
872	1203	175
873	1204	173
874	1205	172
875	1206	170
876	1207	169
877	1209	168
878	1210	166
879	1211	165
880	1212	163
881	1213	162
882	1214	160
883	1216	159
884	1217	158
885	1218	156
886	1219	155
887	1220	153
888	1221	152
889	1222	151
890	1223	149
891	1224	148
892	1226	146
893	1227	145
894	1228	144
895	1229	142
896	1231	141
897	1232	139
898	1233	138
899	1234	137
900	1235	135
901	1236	134
902	1237	132
903	1239	131
904	1240	130
905	1241	128
906	1242	127
907	1244	126
908	1245	124
909	1246	123
910	1247	121
911	1248	120
912	1249	119
913	1251	117
914	1252	116
915	1253	114
916	1254	113
917	1255	112
918	1256	110
919	1258	109
920	1259	108
921	1260	106
922	1261	105
923	1262	103
924	1264	102
925	1265	101
926	1266	99
927	1267	98
928	1268	96
929	1269	95
930	1270	94
931	1272	92
932	1273	91
933	1274	90
934	1276	88
935	1277	87
936	1278	85
937	1279	84
938	1280	83
939	1281	81
940	1283	80
941	1284	79
942	1285	77
943	1286	76
944	1287	74
945	1289	73
946	1290	72
947	1291	70
948	1292	69
949	1293	68
950	1294	66
951	1296	65
952	1297	63
953	1298	62
954	1299	61
955	1300	59
956	1302	58
957	1303	57
958	1304	55
959	1305	54
960	1306	53
961	1308	51
962	1309	50
963	1311	48
964	1312	47
965	1313	46
966	1314	44
967	1316	43
968	1317	42
969	1318	40
970	1319	39
971	1320	38
972	1321	36
973	1322	35
974	1324	33
975	1325	32
976	1326	31
977	1327	29
978	1328	28
979	1329	27
980	1330	25
981	1332	24
982	1333	23
983	1334	21
984	1335	20
985	1336	18
986	1337	17
987	1338	16
988	1340	14
989	1341	13
990	1342	12
991	1343	10
992	1344	9
993	1345	8
994	1346	6
995	1348	5
996	1349	4
997	1350	2
998	1351	1
999	1352	0
